,property_type,place_name,state_name,price_aprox_usd,surface_covered_in_m2,ambientes,baños,balcón,cochera,parrilla,pileta,amoblado,lavadero,patio,terraza,jardin
25079,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,180000.0,81.0,1.0,2.0,0,1,1,0,0,1,0,1,0
25080,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,165000.0,185.0,2.0,1.0,0,1,0,1,0,1,0,0,0
25081,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,350000.0,200.0,1.0,2.0,0,1,1,1,0,1,1,1,0
25082,house,Adrogué,Bs.As. G.B.A. Zona Sur,220000.0,130.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25083,apartment,Palermo Soho,Capital Federal,195000.0,43.0,2.0,1.0,1,1,0,1,0,0,0,0,0
25084,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,145000.0,150.0,1.0,1.0,0,1,0,1,0,1,1,1,0
25085,house,Florida,Bs.As. G.B.A. Zona Norte,549000.0,315.0,1.0,1.0,1,0,1,0,0,1,1,1,1
25086,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,175000.0,125.0,1.0,1.0,0,1,1,0,0,1,1,0,0
25087,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,130000.0,110.0,1.0,1.0,0,1,0,1,0,0,1,1,0
25088,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,73000.0,42.0,1.0,1.0,0,0,0,0,0,1,1,0,0
25089,apartment,Nuñez,Capital Federal,185000.0,47.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25090,house,Vicente López,Bs.As. G.B.A. Zona Norte,460000.0,185.0,2.0,1.0,0,1,0,0,0,1,1,1,1
25091,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,140000.0,125.0,1.0,1.0,0,1,1,0,0,1,1,1,0
25092,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,155000.0,80.0,1.0,1.0,0,1,0,1,0,1,0,0,0
25093,apartment,Palermo,Capital Federal,680000.0,135.0,1.0,1.0,0,1,1,1,0,0,0,0,0
25094,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,350000.0,250.0,1.0,1.0,0,1,0,0,0,0,1,1,0
25095,apartment,Castelar,Bs.As. G.B.A. Zona Oeste,135000.0,40.0,2.0,1.0,1,1,0,1,0,0,0,0,0
25096,house,Burzaco,Bs.As. G.B.A. Zona Sur,160000.0,136.0,1.0,2.0,0,1,1,1,0,0,0,0,1
25097,apartment,La Plata,Bs.As. G.B.A. Zona Sur,210000.0,99.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25098,apartment,Parque Patricios,Capital Federal,151800.0,50.0,2.0,1.0,0,0,1,0,0,0,0,1,0
25099,house,Temperley,Bs.As. G.B.A. Zona Sur,175000.0,110.0,1.0,1.0,0,1,0,0,0,1,0,0,1
25100,PH,Villa Ballester,Bs.As. G.B.A. Zona Norte,129000.0,65.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25101,apartment,Almagro,Capital Federal,85000.0,33.0,2.0,1.0,0,0,0,0,0,0,0,0,0
25102,apartment,Florida,Bs.As. G.B.A. Zona Norte,339000.0,110.0,1.0,1.0,1,1,1,0,0,1,0,1,0
25103,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,180000.0,200.0,1.0,1.0,0,1,0,0,0,0,1,0,0
25104,house,General San Martín,Bs.As. G.B.A. Zona Norte,215000.0,150.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25105,apartment,Del Viso,Bs.As. G.B.A. Zona Norte,125000.0,88.0,1.0,1.0,0,1,1,1,0,0,0,1,0
25106,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,185000.0,145.0,1.0,1.0,1,1,1,0,0,1,1,1,1
25107,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,77000.0,46.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25108,apartment,Munro,Bs.As. G.B.A. Zona Norte,78000.0,28.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25109,house,Pilar,Bs.As. G.B.A. Zona Norte,144000.0,110.0,1.0,1.0,0,1,0,1,0,0,0,0,1
25110,apartment,Palermo Soho,Capital Federal,130000.0,32.0,1.0,1.0,1,1,1,0,0,0,0,1,0
25111,apartment,Palermo,Capital Federal,600000.0,130.0,1.0,1.0,1,1,1,1,0,1,1,0,0
25112,house,Temperley,Bs.As. G.B.A. Zona Sur,94000.0,180.0,1.0,1.0,0,1,1,0,0,0,0,0,0
25113,house,Pilar,Bs.As. G.B.A. Zona Norte,136000.0,90.0,1.0,1.0,0,1,0,0,0,0,0,0,1
25114,apartment,Munro,Bs.As. G.B.A. Zona Norte,77000.0,25.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25115,PH,Villa Ballester,Bs.As. G.B.A. Zona Norte,82000.0,45.0,1.0,1.0,0,1,0,0,0,1,1,1,0
25116,apartment,Palermo,Capital Federal,130000.0,38.0,1.0,1.0,1,1,1,0,0,0,0,1,0
25117,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,150000.0,150.0,1.0,2.0,0,1,0,1,0,1,1,1,0
25118,house,Pilar,Bs.As. G.B.A. Zona Norte,136000.0,90.0,1.0,1.0,0,1,0,0,0,0,0,0,1
25119,house,La Plata,Bs.As. G.B.A. Zona Sur,285000.0,245.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25120,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,275000.0,260.0,1.0,1.0,0,1,1,0,0,0,0,0,0
25121,apartment,Munro,Bs.As. G.B.A. Zona Norte,74000.0,23.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25122,house,Temperley,Bs.As. G.B.A. Zona Sur,170000.0,125.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25123,apartment,Vicente López,Bs.As. G.B.A. Zona Norte,225000.0,44.0,2.0,1.0,0,1,0,1,0,0,0,0,0
25124,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,110000.0,110.0,1.0,1.0,0,1,0,0,0,1,0,0,1
25125,apartment,Castelar,Bs.As. G.B.A. Zona Oeste,102000.0,47.0,2.0,1.0,1,1,0,0,0,0,0,0,0
25126,apartment,Belgrano,Capital Federal,580000.0,143.0,1.0,2.0,1,1,0,0,0,1,0,0,0
25127,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,73000.0,44.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25128,apartment,Munro,Bs.As. G.B.A. Zona Norte,74000.0,23.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25129,apartment,Capital Federal,Capital Federal,85500.0,32.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25130,apartment,Munro,Bs.As. G.B.A. Zona Norte,80000.0,25.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25131,apartment,Villa Ballester,Bs.As. G.B.A. Zona Norte,88000.0,48.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25132,apartment,Vicente López,Bs.As. G.B.A. Zona Norte,165000.0,47.0,2.0,1.0,1,0,0,0,0,0,0,0,0
25133,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,185000.0,170.0,1.0,1.0,0,1,0,0,0,1,1,0,0
25134,apartment,Caballito,Capital Federal,107500.0,41.0,1.0,1.0,0,0,0,0,0,0,1,0,0
25135,apartment,Palermo,Capital Federal,151594.0,30.0,1.0,1.0,0,1,0,1,0,0,0,0,0
25136,house,Adrogué,Bs.As. G.B.A. Zona Sur,230000.0,200.0,1.0,2.0,0,1,0,0,0,1,1,0,1
25137,apartment,La Plata,Bs.As. G.B.A. Zona Sur,165000.0,75.0,1.0,1.0,1,1,0,0,0,0,0,0,0
25138,apartment,Munro,Bs.As. G.B.A. Zona Norte,78000.0,23.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25139,apartment,Palermo,Capital Federal,157941.0,39.0,1.0,1.0,0,1,0,1,0,0,0,0,0
25140,house,Barracas,Capital Federal,250000.0,235.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25141,house,Adrogué,Bs.As. G.B.A. Zona Sur,180000.0,93.0,1.0,1.0,1,1,1,0,0,1,0,0,0
25142,house,City Bell,Bs.As. G.B.A. Zona Sur,320000.0,140.0,1.0,1.0,0,1,0,1,0,0,0,0,0
